case_id,jurisdiction,domain,damage_type,initial_claim,final_award,iterations,court_level,year,converged,convergence_gap,notes
BD-IP-0047,CN,ip,compensatory,500000.0,300000.0,1,trial,2020,,,
BD-IP-0048,CN,ip,compensatory,,100000.0,1,trial,2017,,,
BD-IP-0049,CN,ip,compensatory,200000.0,5389137.83,1,trial,2015,,,
BD-IP-0051,CN,ip,compensatory,5389137.83,50000.0,1,trial,2021,,,
BD-IP-0054,CN,ip,compensatory,50000.0,20000.0,1,trial,2013,,,
BD-IP-0055,CN,ip,compensatory,2000000.0,600000.0,1,trial,2021,,,
BD-IP-0056,CN,ip,compensatory,,50000.0,1,trial,2021,,,
BD-IP-0057,CN,ip,compensatory,,20000.0,1,trial,2021,,,
BD-IP-0059,CN,ip,compensatory,50612400.0,50612400.0,1,trial,2022,,,
BD-IP-0060,CN,ip,compensatory,145340000.0,140000000.0,1,trial,2008,,,
BD-IP-0062,CN,ip,compensatory,,120000000.0,1,trial,2022,,,
BD-IP-0063,CN,ip,compensatory,,120000000.0,1,trial,2020,,,
BD-IP-0080,CN,ip,compensatory,7000.0,10000.0,1,trial,2016,,,
BD-IP-0081,CN,ip,compensatory,,10000.0,1,trial,2022,,,
BD-IP-0084,CN,ip,compensatory,10000000.0,5000000.0,1,trial,2021,,,
BD-IP-0085,CN,ip,compensatory,500000.0,6000000.0,1,trial,2021,,,
BD-IP-0092,CN,ip,punitive,136000.0,136000.0,1,trial,2022,,,
BD-IP-0134,CN,ip,compensatory,250000.0,15000.0,1,trial,2021,,,
BD-IP-0139,HK,ip,compensatory,,5000000.0,1,trial,2021,,,
BD-IP-0140,CN,ip,punitive,2000000.0,201540000.0,1,trial,2021,,,
BD-IP-0141,CN,ip,punitive,201540000.0,201540000.0,1,trial,2022,,,
BD-IP-0142,HK,ip,punitive,68000000.0,12870000.0,1,trial,2020,,,
BD-IP-0143,HK,ip,punitive,3000000.0,5000000.0,1,trial,2021,,,
BD-IP-0145,CN,ip,punitive,750000.0,2250000.0,1,trial,2020,,,
BD-IP-0153,CN,ip,compensatory,48000.0,48000.0,1,trial,2020,,,
BD-IP-0160,CN,ip,compensatory,500.0,150000.0,1,trial,2021,,,
BD-IP-0161,CN,ip,compensatory,300000.0,400000.0,1,trial,2021,,,
BD-IP-0166,CN,ip,liquidated_damages,500000.0,30000.0,1,trial,2020,,,
BD-IP-0169,CN,ip,compensatory,,500000.0,1,trial,2021,,,
BD-IP-0170,CN,ip,compensatory,,533000.0,1,trial,2013,,,
BD-IP-0172,CN,ip,compensatory,,40000.0,1,trial,2020,,,
BD-IP-0173,CN,ip,punitive,315500.0,5000.0,1,trial,2021,,,
BD-IP-0174,CN,ip,punitive,1500000.0,3000000.0,1,trial,2021,,,
BD-IP-0179,CN,ip,liquidated_damages,50000.0,5000000.0,1,trial,2005,,,
BD-IP-0186,CN,ip,liquidated_damages,,28645.0,1,trial,2011,,,
BD-IP-0198,CN,ip,compensatory,1000000.0,60000.0,1,trial,2021,,,
BD-IP-0199,CN,ip,compensatory,50000.0,50000.0,1,trial,2022,,,
BD-IP-0210,CN,ip,punitive,150000.0,300000.0,1,trial,2013,,,
BD-IP-0214,CN,ip,punitive,100000000.0,650000.0,1,trial,2023,,,
BD-IP-0215,CN,ip,punitive,2100000000.0,204129.0,1,trial,2022,,,
BD-IP-0217,CN,ip,punitive,,30000.0,1,trial,2022,,,
BD-IP-0219,CN,ip,punitive,,27075000.0,1,trial,2020,,,
BD-FIL-0006,CN,procedure,compensatory,,31617502.0,1,trial,2017,,,
BD-FIL-0007,CN,procedure,liquidated_damages,10000000.0,200000000.0,1,trial,2019,,,
BD-FIL-0008,CN,procedure,compensatory,200000000.0,50000000.0,1,trial,2020,,,
BD-FIL-0009,CN,procedure,compensatory,60000000.0,30000000.0,1,trial,2019,,,
BD-FIL-0014,CN,procedure,compensatory,,800000.0,1,trial,2024,,,
BD-FIL-0021,CN,procedure,liquidated_damages,100.0,50000000.0,1,trial,2017,,,
BD-FIL-0022,CN,procedure,liquidated_damages,90000000.0,491800.0,1,trial,2021,,,
BD-FIL-0023,CN,procedure,liquidated_damages,50000000.0,50000000.0,1,trial,2020,,,
BD-FIL-0025,CN,procedure,emotional_distress,100.0,50000.0,1,trial,2018,,,
BD-FIL-0026,CN,procedure,compensatory,200000.0,150.0,1,trial,2022,,,
BD-FIL-0027,CN,procedure,liquidated_damages,100.0,653.33,1,trial,2021,,,
BD-ADM-0013,CN,admin,emotional_distress,66000.0,3000000.0,1,trial,2017,,,
BD-HK-0001,HK,contract,compensatory,4965030.10,2329459.59,2,appeal,2018,True,0,"Time Rich 08 Ltd v Dbe (HK) Ltd, [2018] HKCA. In its writ the plaintiff claimed HK$4,965,030.10 together with mesne profits, damages, interest and costs for rent-related arrears. Chu J gave summary judgment for HK$2,329,459.59, and the Court of Appeal dismissed the defendants' appeal. Source: https://vlex.hk/vid/time-rich-08-ltd-862552192"
BD-HK-0002,HK,contract,liquidated_damages,10400000,10400000,1,trial,2020,True,0,"Castle Global Ltd v Ip Tai Hoi Paul, judgment discussed in [2021] HKCA. The plaintiff had paid deposits totaling HK$5.2 million and claimed a refund of that deposit plus liquidated damages of the same amount under clause 16(b), for an effective monetary claim of HK$10.4 million. The Recorder ordered refund of the deposit and an equivalent sum as agreed compensation. Source: https://vlex.hk/vid/castle-global-ltd-v-877756230"
BD-HK-0003,HK,contract,compensatory,231533.13,231533.13,1,trial,1997,True,0,"S.C. Chow & Associates Ltd v Chow Kit Ming t/a Modern World Printing Design Co, HCA4504/1995, judgment dated 19 February 1997. For Action 4504/95 the plaintiff quantified rent, management fees, rates, electricity charges, and water charges totaling HK$231,533.13, and the court held the plaintiff was entitled to damages in the sum of HK$231,533.13 as claimed. Source: https://vlex.hk/vid/s-c-chow-associates-862488473"
BD-HK-0004,HK,tort,compensatory,6700000,347496.10,1,trial,2010,True,0,"Lau Tsz Ha v Chui Sang Choy and Another, HCPI 489/2006, decision dated 10 June 2010. The costs decision records that the plaintiff's initial statement of damages in 2006 sought about HK$3 million and the revised version in 2007 sought about HK$6.7 million; it further records that the plaintiff was eventually awarded damages of HK$347,496.10. `initial_claim` is normalized from the revised claim figure described as 'about $6.7 million'. Source: https://vlex.hk/vid/lau-tsz-v-chui-862784962"
BD-HK-0005,HK,contract,compensatory,32761,31964,2,appeal,2016,True,0,"Lo Wai Lin v FWD Life Insurance Company (Bermuda) Ltd, Small Claims Tribunal Appeal No. 6 of 2016. The claimant's original insurance claim totalled HK$35,361, but shortly before trial she withdrew the doctor and eye-centre fee components, leaving a live claim of HK$32,761 based on the hospital discharge statement. The adjudicator first awarded HK$31,991, and on review varied that amount to HK$31,964. This row normalizes `initial_claim` to the live amount pursued after withdrawal and `final_award` to the reviewed amount described in the CFI leave-to-appeal decision. Source: https://vlex.hk/vid/wai-lin-v-fwd-862537773"
BD-HK-0006,HK,tort,compensatory,2944056.00,650000,1,trial,2009,True,0,"Chu Hon Chong v Wong Kwan Kit and Another, HCPI 784/2008, decision dated 15 January 2010 on scale of costs. The plaintiff's Revised Statement of Damages claimed HK$2,944,056.00. Before quantum trial, the proceedings were concluded on 14 November 2009 when the plaintiff accepted a sanctioned payment for HK$650,000. This row uses the revised pleaded claim and the accepted sanctioned payment as the monetary resolution recorded by the court. Source: https://vlex.hk/vid/chu-hon-chong-v-862800830"
BD-HK-0007,HK,tort,compensatory,2705070.00,850000,1,trial,2010,True,0,"Yu Wai Kan v Law Cho Tai, HCPI 237/2009, decision dated 27 April 2011 on scale of costs. The plaintiff's Revised Statement of Damages claimed HK$2,705,070.00. The action was settled and concluded on 14 December 2010 with the defendant agreeing to pay HK$850,000 inclusive of interest in full and final settlement. This row uses the revised pleaded claim and the settlement sum expressly recorded in the later court decision. Source: https://vlex.hk/vid/yu-wai-kan-v-862789961"
BD-US-0001,US,ip,statutory,75000,22500,1,trial,1992,True,0,"Quartet Music v. Kissimmee Broadcasting, Inc., 795 F. Supp. 1100 (M.D. Fla. 1992). Plaintiffs sought statutory damages of $5,000 for each of 15 infringements, totaling $75,000. The court found $1,500 per infringement appropriate and entered judgment for $22,500 against Augustine Cawley. Source: https://law.justia.com/cases/federal/district-courts/FSupp/795/1100/2596347/"
BD-US-0002,US,ip,statutory,2000000,100000,1,trial,2020,True,0,"North American Van Lines, Inc. v. North America Moving & Storage, Inc., No. 1:18-cv-00196, Document 51 (N.D. Ind. Feb. 10, 2020). The amended complaint sought $2,000,000 in statutory damages under 15 U.S.C. § 1117(c)(2), but the court held the facts supported cybersquatting relief under 15 U.S.C. § 1117(d) and awarded $100,000. Source: https://law.justia.com/cases/federal/district-courts/indiana/inndce/1%3A2018cv00196/95002/51/"
BD-US-0003,US,ip,statutory,50000,1250,1,trial,2008,True,0,"Magna-RX, Inc. v. Slepicoff, No. 2:05-cv-03545, Document 494 (D. Ariz. 2008). Plaintiff requested $25,000 for trademark infringement plus $25,000 for copyright infringement against each default defendant, totaling $50,000. The court awarded the statutory minimums: $500 for trademark and $750 for copyright, totaling $1,250 per default defendant. Source: https://law.justia.com/cases/federal/district-courts/arizona/azdce/2%3A2005cv03545/289100/494/"
BD-US-0004,US,ip,statutory,10000,7500,1,trial,2020,True,0,"Farrington v. Fingerlakes1.com, Inc., No. 6:19-cv-06802, Document 15 (W.D.N.Y. Dec. 15, 2020). Plaintiff sought $5,000 for copyright infringement and $5,000 for the DMCA claim. The court awarded $2,500 for copyright infringement and $5,000 for the DMCA violation, totaling $7,500. Source: https://law.justia.com/cases/federal/district-courts/new-york/nywdce/6%3A2019cv06802/126524/15/"
BD-US-0005,US,ip,statutory,50000,50000,1,trial,2020,True,0,"AllStar Marketing Group, LLC v. 123 Beads Store et al., No. 1:19-cv-03184, Document 55 (S.D.N.Y. 2020). Plaintiff sought $50,000 in statutory damages against each defaulting defendant for willful counterfeiting and related infringement. The court found that request reasonable and approved $50,000 per defaulting defendant. Source: https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1%3A2019cv03184/513461/55/"
BD-US-0006,US,ip,statutory,60000,60000,1,trial,2017,True,0,"J & J Sports Productions, Inc. v. Ochoa, No. 4:17-cv-00245, Document 9 (D. Idaho Sept. 15, 2017). Plaintiff sought $10,000 in statutory damages and $50,000 in enhanced damages under 47 U.S.C. § 605; the court awarded the full requested amount and ordered entry of judgment for $60,000. Source: https://law.justia.com/cases/federal/district-courts/idaho/iddce/4%3A2017cv00245/39266/9/"
BD-US-0007,US,ip,statutory,50000,10000,1,trial,1983,True,0,"Fallaci v. New Gazette Literary Corp., 568 F. Supp. 1172 (S.D.N.Y. 1983). Plaintiff sought $50,000 in statutory damages for willful copyright infringement. The magistrate recommended, and the court adopted, a $10,000 damages award based on twice the estimated $5,000 market value of the republication rights. Source: https://law.justia.com/cases/federal/district-courts/FSupp/568/1172/2374793/"
BD-US-0008,US,ip,statutory,100000,40500,1,trial,2018,True,0,"Sky Vapors, LLC v. Blazynski, No. 1:14-cv-01078, Document 27 (W.D.N.Y. Dec. 19, 2018). Plaintiff sought $50,000 in Lanham Act statutory damages and $50,000 in ACPA statutory damages, totaling $100,000. The court awarded $40,000 for trademark infringement and $500 for cybersquatting, totaling $40,500. Source: https://law.justia.com/cases/federal/district-courts/new-york/nywdce/1:2014cv01078/101190/27/"
BD-US-0009,US,ip,statutory,20000,20000,1,trial,2019,True,0,"Joe Hand Promotions, Inc. v. Alez Caribbean Restaurant and Lounge LLC, No. 8:19-cv-00651, Document 25 (M.D. Fla. Sept. 26, 2019). Plaintiff sought $5,000 in statutory damages and $15,000 in additional damages under 47 U.S.C. § 605 for willful signal piracy. The court awarded the requested $20,000 total. Source: https://law.justia.com/cases/federal/district-courts/florida/flmdce/8%3A2019cv00651/361459/25/"
BD-US-0010,US,ip,statutory,35000,13000,1,trial,2019,True,0,"Joe Hand Promotions, Inc. v. Garcia-Nunez, No. 6:18-cv-01452, Document 15 (D. Or. June 11, 2019). Plaintiff sought $10,000 in statutory damages and $25,000 in enhanced statutory damages under 47 U.S.C. § 605. The court awarded $3,000 in statutory damages and $10,000 in enhanced statutory damages, for a total of $13,000. Source: https://law.justia.com/cases/federal/district-courts/oregon/ordce/6%3A2018cv01452/139157/15/"
BD-US-0011,US,ip,statutory,43000,18000,1,trial,2018,True,0,"J & J Sports Productions, Inc. v. Enciso-Chavez, No. 6:17-cv-01430, Document 20 (D. Or. Aug. 6, 2018). Plaintiff sought $10,000 in statutory damages, $30,000 in enhanced statutory damages, and $3,000 for trespass to chattels. The court awarded $3,000 in statutory damages and $15,000 in enhanced statutory damages, while denying the $3,000 trespass request; total monetary award on damages was $18,000. Source: https://law.justia.com/cases/federal/district-courts/oregon/ordce/6%3A2017cv01430/133186/20/"
BD-US-0012,US,ip,statutory,40000,30000,1,trial,2020,True,0,"G&G Closed Circuit Events LLC v. Alcantara, No. 2:18-cv-02836, Document 40 (D. Ariz. Apr. 30, 2020). Plaintiff requested $10,000 in statutory damages and $30,000 in enhanced statutory damages under 47 U.S.C. § 605. The court found the requested statutory damages of $10,000 and a reduced enhanced component of $20,000 reasonable, for a total of $30,000 against the defaulting defendant. Source: https://law.justia.com/cases/federal/district-courts/arizona/azdce/2%3A2018cv02836/1122042/40/"
BD-US-0013,US,ip,statutory,120000,20000,1,trial,2023,True,0,"Stokes v. Gold Productions Inc, No. 5:22-cv-00538, Document 13 (W.D. Okla. Jan. 10, 2023). Plaintiff sought statutory damages of $30,000 for each of four infringed photographs, totaling $120,000. The court instead awarded $5,000 per photograph, for a total statutory award of $20,000. Source: https://law.justia.com/cases/federal/district-courts/oklahoma/okwdce/5%3A2022cv00538/118438/13/"
BD-US-0014,US,ip,statutory,24400,2500,1,trial,2025,True,0,"Wareka v. Dolce Vita Health Center, Inc., No. 2:24-cv-01440, Document 27 (E.D. Cal. Oct. 17, 2025). Plaintiff requested total statutory damages of $24,400 across one copyright claim and two CMI claims. The court recommended $1,500 for copyright infringement plus $500 and $500 for the two CMI claims, totaling $2,500. Source: https://law.justia.com/cases/federal/district-courts/california/caedce/2%3A2024cv01440/446904/27/"
BD-US-0015,US,ip,statutory,200000,50000,1,trial,2026,True,0,"CN Investors LLC v. CN Investors LLC, No. 2:25-cv-00533, Document 18 (D. Nev. May 5, 2026). Plaintiff sought the maximum ACPA statutory damages of $100,000 for each of two cybersquatting domains, totaling $200,000. The court found that maximum relief unwarranted and awarded $25,000 per violation, for a total of $50,000. Source: https://law.justia.com/cases/federal/district-courts/nevada/nvdce/2%3A2025cv00533/173773/18/"
BD-US-0016,US,ip,statutory,1100000,425000,1,trial,2023,True,0,"Amazon.com, Inc. et al. v. Pionera, Inc., No. 2:22-cv-01491, Document 31 (E.D. Cal. July 7, 2023). Plaintiffs sought $500,000 for each of two trademark infringements plus $100,000 for one cybersquatting violation, totaling $1,100,000. The court recommended $200,000 per mark and $25,000 for cybersquatting, for a total statutory award of $425,000. Source: https://law.justia.com/cases/federal/district-courts/california/caedce/2%3A2022cv01491/415288/31/"
BD-US-0017,US,ip,statutory,150000,150000,1,trial,2024,True,0,"Chanel, Inc. v. Fe Corp., No. 2:23-cv-02946, Document 20 (E.D. Cal. Aug. 6, 2024). Plaintiff moved for default judgment seeking $150,000 in Lanham Act statutory damages. The court found that amount reasonable and recommended awarding the requested $150,000. Source: https://law.justia.com/cases/federal/district-courts/california/caedce/2%3A2023cv02946/438951/20/"
BD-US-0018,US,ip,statutory,150000,100000,1,trial,2016,True,0,"River Light V, L.P. et al. v. Zhangyali, No. 1:15-cv-05918, Document 80 (N.D. Ill. Aug. 29, 2016). Plaintiffs sought $150,000 in Lanham Act statutory damages for counterfeit Tory Burch goods. The court granted summary judgment and awarded $100,000 instead. Source: https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1%3A2015cv05918/312631/80/"
BD-US-0019,US,ip,statutory,3650,1500,1,trial,2025,True,0,"Martinka v. Hagedorn Communications, Inc., No. 1:24-cv-03601, Document 23 (S.D.N.Y. Sept. 15, 2025). Plaintiff sought $3,650.00 in statutory damages for willful copyright infringement. The court found a reduced award appropriate and awarded $1,500.00 in statutory damages. Source: https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1%3A2024cv03601/621196/23/"
BD-US-0020,US,ip,statutory,12500,12500,1,trial,2026,True,0,"Lynk Media LLC v. Taylor, No. 2:24-cv-02706, Document 35 (E.D. Cal. Feb. 10, 2026). Plaintiff sought statutory damages in the total amount of $12,500.00, calculated from a $2,500 licensing fee multiplied by five for willful infringement. The court recommended awarding the requested $12,500.00 in statutory damages. Source: https://law.justia.com/cases/federal/district-courts/california/caedce/2%3A2024cv02706/453626/35/"
